Quel est votre niveau de satisfaction concernant votre CPAM;Que pourrait faire votre CPAM pour améliorer votre satisfaction globale?
Assez satisfait;je n arrive plus a me connecter sur mon compte ameli.fr depuis plusieurs mois via mon ordinateur .le site me dit appeller nos services pour une mise a jour et quand j appelle vos services ont me dit que tout et bon hors qu avec nouveau mot de passe je ne peux toujours pas me connecter donc je n ai aucune info concernant mon dossier pension invalidite .quand je me connecte via mon telephone ,je n ai aucune info sur mon dossier pension invalidite et ne peux pas vous envoyer un message pour des renseignementsconcernant mon dossier.cest pour cela que j avais demander que vos services m envois les documents de mon dossier par voie postale .
Très satisfait;En ce qui me concerne tout est clair et parfait. Le service social est très très compétent c.est une personne très professionnelle sur laquelle on peut vraiment compter pour être renseigné lorsque l’on est un peu démuni quand une situation inhabituelle et complexe se présente. Merci pour ce service.
Très satisfait;Je suis satisfaite
Peu satisfait;Se mettre d’accord entre conseiller sur les démarches à suivre. Prendre plus rapidement en compte les documents envoyés.
Très satisfait;REPONDREDANS UN DELAI RAPIDE A MA DEMANDE DE CURE ET CONTROLER SI LA DEMANDE A ETE EN CONFORMITE AVEC MA PATOLOGIE ( MON MEDECIN  A OUBLIE DE RENSEIGNER LA CASE  ALD J AI ETE DANS L OBLIGATION D   AVANCER LES SOINS ) UN CONTROLE AURAIT PU ETRE FAIT ET ME RECONTACTER A SE SUJET
Très satisfait;Je trouve, que la situation actuelle est très bien,et reste dans l'air du temps numérique,et vous êtes au taquet par rapport à ce sujet qui de renforcer la sécurité numérique de chacune et chacun.
Très satisfait;Je pense qu'il faudrait sur le compte Amélie pouvoir télécharger des documents autant que nécessaire facilement pour éviter les envois postaux
Assez satisfait;Rien à dire
Très satisfait;avoir une alerte par sms si un e mail arrive sur mon compte ameli
Assez satisfait;Possibilité d' envoyer les feuilles de soins directement sur le site
Assez satisfait;Declaration mutuelle validée par com puis supprimée 1 mois plus tard par vos services (pour ma fille uniquement )
Assez satisfait;Paiement des indemnités journalières trop long
Pas du tout satisfait;Arrêter de perdre nos courriers ça permettrait des remboursements rapidement ça fait 4 mois que j attend
Très satisfait;Appel téléphonique un peu long
Très satisfait;Dans l'ensemble je suis très satisfait. Concernant ma demande d'explication pour un remboursement au CHD de La Roche sur Yon d'un montant de 12000 € pour un scanner de centrage, je suis en ALD, Il me semblait que cette somme était beaucoup trop élevée il m'a été répondu que c'était normal???? En général le montant d'un scanner, même avec quelques compléments se situe entre 100 et 200 €.
Peu satisfait;Lorsque qu'une feuille de soin est perdue dans vos services il me semble logique de se contenter d'une copie de cette dernière et ne pas attendre 6 semaines avant d'avoir des infos.
Très satisfait;Renseignements très précis
Assez satisfait;un seul collaborateur    pour traiter le dossier   AMELIORER  ACCES POUR VOUS CONTACTER CAR TRES COMPLIQUE,SIMPLIFIE
Assez satisfait;Un service rapide et efficace pour changer une carte vitale H.S.
Assez satisfait;Personnellement,je souhaiterais qu'une personne réponde au téléphone beaucoup plus vite,sans avoir à attendre 15mn ou retéléphoner plusieurs fois. La galère pour les personnes âgées.
Pas du tout satisfait;Bonjour, Lors qu'il s'agit de rendre une décision concernant des séquelles d'un accident de travail, il serait judicieux de convoquer la personne concerner devant un comité. Prendre une décision sur un cas aussi grave et rejeter une demande de prise en charge, sur l'avis d'un seul médecin n'est vraiment pas humain. Merci de votre compréhension.  Cordialement.  M.FRANCISQUE
Pas du tout satisfait;Je suis choquee et confuse par les dires du médecin conseil je cite pas besoin de traitement pour ma maladie que je dois faire du sport pour remédier à tous mes soucis de santé que ce n est rien aucune reconnaissance remettre en question l hôpital, les psy, les neurologue J ai rien et 1 an c est trop tôt et cette année pas de poussé donc plus besoin de traitement que le psychiatre le pedopsychiatre 1 an ce n est pas significatif pour dire Qu il y a quelque chose et ma fatigue ne provient ni de ma dépression ni de ma sep car pas de pousse en ce moment mais de mes 5 enfants. Conclusion je suis abasourdi effondré aucune reconnaissance voilà il faut être en fauteuil roulant cordialement
Peu satisfait;Je souhaite recevoir par mail les informations, mais trop compliqué pour entrer dans le site AMELI. Donc je ne peux accéder à       aucune info. et ne peut rien demander.       Cordialement.      S. ORTEGA
Assez satisfait;Impensable un remboursement de frais a l étranger. Un si long délais !!!à quoi sert la carte européenne ?
Peu satisfait;Etre disponible au téléphone ce qui est totalement impossible. Et recevoir des reponses lorsqu’on écrit
Très satisfait;De continuer dans la situation actuelle qui est trés satisfaisante.
Assez satisfait;je ne reviendrais pas sur les incohérences lors de mon changement de domiciliation bancaire et LES réponses inadaptées .Je vous renvoie à mes courriels et courriers postaux pour que vous puissiez prendre la mesure de cette remarque Comme je pense que vous enregistrez nos échanges vous comprendrez aisément.
Très satisfait;RAS TOUT VA BIEN POUR L'INSTANT
Très satisfait;Pour moi c’est tout à fait adapté.. Je remercie l’assistante sociale qui m’a reçue .  Très à l’écoute et compétente
Peu satisfait;EN PRIORITE OUVRIR UN CANAL DE TRANSMISSION DIRECTE DE DOCUMENTS CAR BEAUCOUP DE PERSONNE AGEE N4ECRIVE PAS ET NE PEUVENT SE DEPLACER FACILEMENT - TOUS LES ORGANISMES ONT CE SERVICE SEUL LA S.S NE FAIT PAS? être plus attentif et plus d'empathie avec les gens -aide pour résoudre les problèmes au mieux. plus d'explications détaillées. PLUS GRANDE FACILITE POUR OBTENIR LE SERVICE CONCERNE EN DIRECTE moins de retenues pour les petits budgets
Très satisfait;Pas de problème particulier
Peu satisfait;Traitement des feuilles de soins trop long, aucun accusé de réception ou même suivi, au téléphone aucune réponse apportée et impossible de voir le délai de traitement actuel de la cpam locale. Rejet de feuille de soins électroniques envoyées par praticien mais la cpam ne l'en à pas informé et aucune cause énoncée. Pour se soigner il faut être riche ou alors bénéficier de toutes les aides possibles mais entre les 2, c'est la survie
Pas du tout satisfait;Les réponses aux mails de demande spécifique sont toutes faites de manière robotique et pas du tout personnalisées, à croire que les demandes ne sont pas lues ou alors plus grave, pas du tout comprises.
Assez satisfait;le temps d attente téléphonique
Assez satisfait;Faciliter le renouvellement de carte vitale
Très satisfait;Bonjour, je viens de subir une opération d'une prothèse de la hanche gauche j'ai donc prix une chambre particulière un peu déçu de me voir un reste à charge de 90€ malgré d'une bonne mutuelle je trouve ça pas trés normal c vrais faut payer pour les  autres !!!!. En 2007 pour ma prothèse de droite idem a ci - dessus aucun reste à charge ??. Pour moi je trouve rien à redire bien . Cordialement. 
Assez satisfait;aucune idée ?
Peu satisfait;facilité d'accès sur le compte améli plus pratique, tout est bloqué Trop de choses inutiles Je voudrais pouvoir vous contacter par e-mail car cela ne fonctionne jamais!!!!
Assez satisfait;Communiquer sur la procédure qui sera mise en place
Très satisfait;RAS tout est parfait , cordialement
Très satisfait;délai pour obtenir un RDV téélphonique un peu long faciliter l'accès à la messagerie pour envoyer un message Le compte Ameli est très bien, yc l'application il est facile de consulter de nb informations Accompagnement et information par visio pour un changement de siuation, merci ! Bonne continuation
Assez satisfait;ne pas avoir de rejet a la pharmacie quand je prend mes medicaments
Assez satisfait;La communication reçue de la CPAM n'est pas claire et les travailleurs de la CPAM établissent leurs propres règles et exigences. Pas très clair et absence totale de réponse. Il est également presque impossible de prendre rendez-vous à des fins générales. Peu de connaissances sur les droits des consommateurs. La CPAM ignore également complètement les lois sur la confidentialité. Il nous a fallu plus de 7 mois pour obtenir l'enregistrement correct et nous attendons toujours la confirmation.
Peu satisfait;Mettre plus de personnes que l’on peut contacter en cas de question à poser
Pas du tout satisfait;Il faudrait embaucher des salariés compétents et qui répondent aux questions posées... La.CPAM en 10 ans ces dégradée toujours un problème pleins de questionss ans réponses le personnel et très incompétent et ne ce prend pas la tête quand une question est posée ...système administratif  à revoir .
Assez satisfait;Beaucoup de mal à joindre une personne compétente pour répondre. J’ai dû faire un courrier recommandé pour avoir une réponse claire sur un sujet précis
Assez satisfait;Mais je n'est envoyé qu'un mail auquel vous n'avez pas répondu
Assez satisfait;Invalidité pouvoir fournir document et justificatif directement du site ameli
Peu satisfait;PRENDRE EN CONSIDERATION LA DEMANDE DES ASSURES. POUR MA PART DEMANDE DE REMBOURSEMENT IJ SUR MON COMPTE. MESSAGE EN RETOUR OUI PRIS EN COMPTE ET RIEN DE FAIT ? DONC REBELOTTE MAIL POUR REDEMANDER MES IJ. AUCUN SUIVI VIA LE COMPTE AMELI. REFORMER VOTRE PERSONNEL CONCERNANT LES SUIVIS DE DOSSIER MERCI
Assez satisfait;Prise en charge complément santé solidaire ( remplacement ancienne mutuelle), ne pas tenir compte uniquement des rémunérations antérieures quand démission justifiée. Ne pas mettre tout le monde dans le même bateau
Assez satisfait;Rien à signaler merci.
Très satisfait;Peut être mieux cibler les mails
Peu satisfait;Proposer tous les services en digitale et pas qu'une partie (indemnités congé paternité par exemple)
Assez satisfait;Je ne savais pas que l'on pouvait envoyer des messages depuis le compte Ameli car plusieurs fois j'aurais aimé le faire
Assez satisfait;Difficultés pour l'entrée dans le site par plusieurs personnes par l'envoi de code par mails qui n'arrivent jamais surtout si l'adresse a changé. Pourquoi pas par SMS   Pas facile pour la solution de problèmes surtout qu'on ne peut pas facilement voir quelqu'un de visu.
Pas du tout satisfait;Indemnités journalières supprimées alors que j'ai toujours travaillé... Situation difficile avec 3 enfants...
Pas du tout satisfait;Très déçu de la réponse apporté par Mme ROUSSEL SYLVIE, malgré mon explication détaillée de la situation au vu d'un remboursement de mes soins. Cette dame prend les gens pour des imbéciles, sa réponse du 16/11 n'est que mépris, elle n'a même pas pris le temps de voir que je suis détenteur de la CSS.
Assez satisfait;Je suis en invalidité j'aurais aimé en savoir plus
Assez satisfait;Le délais d'attente
Peu satisfait;Facilite relationnel  accès simple facile au services réponse rapide téléphonique
Assez satisfait;Être plus réactif pour les arrêts de travail car sans argent c est compliqué de payer ses factures
Assez satisfait;Que le traitement des feuilles de soins soient plus rapides afin d’être remboursé plus rapidement. C’est beaucoup trop long. Plus d’un mois.
Assez satisfait;Pouvoir transmettre en ligne des documents par mail ou avec le compte ameli car a chaque fois on doit envoyer par courrier.....penible
Pas du tout satisfait;J’ai déposée mon dossier pour congé maternité mois dé juillet, je devrais être indemnisé depuis mois de septembre, en est en décembre et toujours rien, ils en perdu le dossier , je lai déposée 4 fois le dossier  complet, ils trouve toujours une excuse comme il manque toujours une pièce, mais j’ai les preuves comme toute est donné 4 fois le dossier complet, il y’a quelqu’un dans la cpam de val de marne qui est raciste en vers moi , j’ai la prove car l’appel je l’ai enregistré, je vais porter plainte , et je vai faire appel à des journalistes pour que tout le monde sache que je suis vitime de quelqu’un du cpam de val de marne qui a quelque chose contre moi , mai ça va être règlee vite , le avocat de mon mari a déjà fait le nécessaire às autorités compétents
Peu satisfait;Informations sur lancement des dossiers
Assez satisfait;Etant à LA MUTUELLE GENERALE, je souhaiterai une information plus groupée pour éviter les problèmes de remboursements récurants au sujet des cures thermales que j'effectue annuellement depuis 4 ans. Systématiquement les remboursements des frais de suivi médicaux obligatoire, au nombre de 3, ne me sont pas remboursés, il faut toujours que je fasse un rappel ! Et plus particulièrement cette année ou la M.G et la C.P.A.M n'arrive pas à s'accorder pour ce remboursement. A ce jour, malgrès l'envoie des documents demandés, je n'ai toujours rien reçu.
Peu satisfait;Facilité pour envoyer message et directement les pièces jointes sans passer par un autre site internet et le traitement rapide pas plusieurs mois après.
Pas du tout satisfait;Respecter le droits à des indemnités d’arrêt maladie et renouvellement CSS et rendre facile la transmission des documents
Assez satisfait;Montant de ma pension d invalidité trop faible. Suis greffé du coeur, ai des problèmes de reins,dialyse tous les deux jours. Grosses problèmes financiers
Très satisfait;Informer en amont du délai de traitement (remboursement de semelles orthopédiques = 2 mois de délai)  et aucune visibilité pour savoir que la demande était bien en attente j'ai donc dû téléphoner pour avori confirmation que la CPAM avait bien reçu la télétransmision du podologue.
Peu satisfait;Essayer d'avoir des interlocuteurs compétents. La dernière en date, après 15 à 20 mn d'attente, pour une information sur le rappel de vaccination (demande de renvoi de courrier égaré) m'a adressé au centre de médecine préventive pour un bilan de santé !!! (quel rapport ?)
Assez satisfait;Plus de rapidité aux messages
Assez satisfait;Mettre en place une messagerie pour que l'on puisse envoyer les documents via le compte améli
Assez satisfait;Le service téléphonique est trop long
Très satisfait;Que nous puissions adresser des documents directement via notre espace plutôt que de faire des envois papier
Assez satisfait;Avoir plus de détails sur ma pension retraite
Assez satisfait;Un formulaire en ligne pour les remboursements de transport personnel pour une ALD
Assez satisfait;Traiter plus rapidement, les dossier et recevoir les gens en agence. Tous  les services sont  trop digitalises
Peu satisfait;Avoir droit à une mutuelle
Assez satisfait;Manque d'informations quand un dossier est bloqué, il faut beaucoup de temps pour solutionner un problème sur les indemnités journalières
Assez satisfait;Je ne trouve pas l'endroit pour envoyer un message
Assez satisfait;le code par mail pour se connecter ,un peu compliqué à cause du temps passé pour recevoir ce mail et même en cochant la case signifiant que si on se connecte depuis notre ordinateur ça ne marche pas . Impossible de prendre un rdv téléphonique sur mon compte ameli .
Assez satisfait;Possibilité de déposer des pièces jointes pour répondre à une demande de documents et ne plus envoyer de courrier papier
Pas du tout satisfait;je ne pense pas qu'on nous écoute vraiment.  je n'y croit plus.
Assez satisfait;J'ai effectué une demande, il y a 3 mois pour avoir une deuxième prothèse, après avoir eu ma première prothèse, il y a presque 2 ans ( prothèse suite amputation). Toujours pas de réponse ?
Assez satisfait;Pouvoir trouver les formulaires de dépistage au moment de l'âge requis. Pour information, lors de l'année des 50 ans, je n'ai jamais reçu de l'assurance maladie le formulaire me permettant d'effectuer le dépistage du cancer du sein. C'est le gynécologue qui me l'a prescrit.
Assez satisfait;Automatiser la teletransmission des arrêts maladie via le carte vitale
Assez satisfait;Prendre au cas par cas. Maladie non stabilisée mais évalué par médecin conseil comme stable?! Je me fais opérer en janvier... Comme quoi pas résolu. Donc prendre au cas par cas !!! J'ai failli me retrouver à la rue...
Très satisfait;Satisfaite de mon compte ameli il est très complet
Assez satisfait;Modif RIB disponible sur ameli (impossibilité pour moi)
Assez satisfait;Plus de facilité de contact en cas de problème avec un dossier
Assez satisfait;Recevoir mes IJ rapidement après déclaration de mon employeur.  Mois dernier mon employeur a fait la déclaration rapidement et reçu tardivement mes AJ
Peu satisfait;"Service Maladie professionnelle/AT Etre en capacité de comprendre, faire preuve d'ouverture concernant la non compréhension de courriers qui sont adressés aux assurés. Courriers qui manquent de précisions. Non prise en compte par ce service de demandes légitimes. Service de personnes qui ne savent pas ne veulent rien entendre même si l'assuré est dans son bon droit. Seule réponse, ""si vous n'êtes pas d'accord vous pourrez faire une recours"" C'est horrible de se trouver face à des murs, sans humanité !"
Peu satisfait;deja de mieux nous expliqué pour ce connecter ,nous envoyer  un code de sécurité pas 15 minutes apres alors qu'il est valabe que 15 minutes informaticien a voir merci
Très satisfait;Bonjour, je ne sais pas, désolé
Assez satisfait;Garder la possibilité de communiquer avec un humain ,ne pas généraliser les robots non comprenant.
Pas du tout satisfait;Le traitement des remboursements trop long,les agents qui ne savent pas de quoi ils parlent
Très satisfait;Interdire les feuilles de soins des médecin tout par notre carte de secu
Très satisfait;.
Peu satisfait;les demandes de prises en charges pour cures thermales tardent très souvent, voire n'arrivent pas du tout ce qui a été mon cas pour cette année , alors que j'ai l'habitude de faire une cure par an depuis déjà longtemps. j'ai dû refaire une demande de prise en charge après avoir fait ma cure, déja 14 jours et toujours pas de réponse,
Assez satisfait;Simplifier l'accès à mon compte
Peu satisfait;dejà sur le compte améli c'est galère pour écrie un mail et on ne peut répondre à la réponse par téléphone pas de suivi, on ne nous rapelle pas à l'accueil on n'a pas voulu me mettre en contact avec la personne qui avait essayé de m'appeler et qui ne m'a d'ailleurs pas rappelé c'est désolant pas de médecin traitant alors que j'ai actuellement besoin d'un suivi, en gros c'est démerdez vous cherchez tout seul !
Très satisfait;j'aimerai savoir si je peux bénéficier des trimestres pour ma retraite malgré mon arret maladie  de longue malaladie
Assez satisfait;Etre davantage à l'écoute lors des appels téléphoniques et ne pas prendre les gens de haut
Assez satisfait;J'habite loin de la CPAM (1 heure de trajet aller + 1 heure retour), aussi il devrait être possible de transmettre les feuilles de maladies par voie informatique. L'ergonomie du site est à compléter, l'accès à la messagerie devrait être possible depuis la page d'accueil.  Le paiement des participations forfaitaires et franchises n'est pas possible alors même que le courrier adressé par la CPAM65 me réclamant ces paiements précise la démarche du paiement en ligne :  ameli.fr (rubrique > Droits et démarches > démarches fréquentes > paiement en ligne) Or, la rubrique Droits et démarches n'existe pas sur le site de la CPAM65, pas plus qu'une rubrique Démarches fréquentes, ni paiement en ligne!!! A corriger rapidement
Peu satisfait;Arrêt de remboursement IJ sans motif et sans info, on me demande de prendre rdv, peu de créneau dispo, et on me rembourse avant le rdv!parce que j'ai pris rdv ? Et on me rembourse  partiellement,  je n'ai toujours pas reçu les ij des 2derniers mois, sans motif, sans communication, pb financier, bravo la chambre !
Assez satisfait;Par exemple en arret maladie  Mon entreprise m’a dit quelle avait envoyer l’attestation de salaire mais elle la jamais envoy Jai attendu les indemnités 1mois et demi  Peut-etre faudrait il mettre en place un suivi avec les etapes et savoir on ou en est
Assez satisfait;Avertir des documents besoins et démarche à effectuer pour bénéficier des indemnités journalières de maternité et paternité. Avertir quand vous avez reçu les courriers envoyés par voix postale.
Très satisfait;Ne plus envoyer les relevés de situations par voie postale !
Pas du tout satisfait;"1/ SUPPRIMER LE ROBOT QUI FAIT PERDRE UN TEMPS FOU ET QUI, DE SURCROIT, NE PREND AUCUN MESSAGE EN COMPTE  ""LA NUIT""  2/ QUE LE PERSONNEL QUI RéPOND NE NOUS PRENNE PAS DE HAUT S'IL NE VEUT PAS  AVOIR A  LIRE NOTRE COLERE  QUEL QUE SOIT LE MODE DE CONTACT, DE TOUTE MANIERE LE COTISANT SERA TOUJOURS CONSIDéRé COMME UNE VACHE A LAIT, alors je vais pointer le SMS ci-dessous en dernier ressort !"
Assez satisfait;Plus de facilité pour les échanges avec la CPAM  Moins passer par le robot
Très satisfait;Continuer à régler les remboursements avec rigueur et efficacité
Assez satisfait;.....
Très satisfait;pour le renouvellement ALD de l'enfant, faire un message pour confirmer la réception de la demande papier et un message pour dire que c'est ok (et qu'on peut mettre à jour la carte vitale)
Assez satisfait;"il y a un problème de suivi des remboursements lorsqu'ils sont imputés sur les participations forfaitaires et les franchises. Il n'y pas moyen de savoir pourquoi on n'est pas remboursé d'un soins.  J'ai demandé de nombreuses fois pourquoi des soins n'étaient pas remboursés ; aucune réponse réelle de la CPAM.  Il serait nécessaire de connaitre où on en est du compteur mentionnant à la fois les participations forfaitaires et  les franchises dues et les soins qui  n'ont pas été remboursés mais imputés sur les participations/franchises."
Assez satisfait;Améliorer l’attente téléphonique, Le temps d’attente Pour nous recevoir
Pas du tout satisfait;Donner les mêmes réponses à chaque appel Demander dès le départ les bons documents pour traiter le dossier, ce qui évite d'envoyer une multitude de courriers Être plus agréable au téléphone
Assez satisfait;repondre au plus vite pour savoir la reponse
Peu satisfait;M’envoyer mon justificatif de remboursement pour l’envoyer à ma mutuelle
Assez satisfait;faciliter  le paiement  des franchises  en ligne
Assez satisfait;Rien
Très satisfait;J'ai eu un accident de travail j'ai attendu 1 ans et demi pour étre indemnisé de l'accident de travail. Il manquer des papiers pour mon dossier pour ètre indemnisé .
Assez satisfait;Pouvoir échanger facilement par message sur le compte ameli et surtout avoir une personne référente á ma caisse d'affiliation
Peu satisfait;Raccourcir paiement ij temps partiel thérapeutique tres tres tres long
Assez satisfait;Renforts des effectifs Personnel ultra disponible ET ultra débordé
Assez satisfait;"très compliqué l'accès pour envoyer un mail; on doit passer par différentes étapes inutiles."
Très satisfait;Je suis  satisfait
Très satisfait;Rien à signaler ras
Peu satisfait;Fyuuu
Peu satisfait;3 mois sans paiement d'invalidité , cause informatique ...    Réponses floues , pas de date .   Beaucoup de difficultés pour trouver ou envoyer les e mail
Peu satisfait;Au moins répondre aux mail qu on envoie
Très satisfait;Recevoir messages de préventions adaptés à  l'âge  Recevoir un récap personnalisé des aides liées à  la situation maladie, handicap
Peu satisfait;Mise en place d’un dispositif pour envoyer des pièces jointes sur ameli.fr (version web et application)  Faciliter l’accès pour écrire un mail, pouvoir répondre aux mails reçu par la cpam pour ne pas réitéré la demande initiale.  Proposer plus de solutions via le chat bot qui nous fait tourner en ronf
Très satisfait;Pouvoir envoyer des documents (feuille de soins ou autres) par le compe ameli plutôt que par la poste.
Très satisfait;RAS
Assez satisfait;ma carte vitale fait état depuis mise en invalidité à 58 ans d'un 100 % en psychiatrie - je suis toujours suivi - (interruption après déménagement) mais je ne suis plus remboursée à 100% .
Peu satisfait;repondre par mail , et aussi par courrier. ou appeler les patients si besoin !
Pas du tout satisfait;Il semble que les dossiers ???? n'arrive pas au bon Interlocuteur ce dossier à été envoyé 3fois Concerne cure à Neris pour ma femme ???? 
Peu satisfait;Il est impossible d'envoyer un mail par le site ameli.  Aucun renseignement n'y fugure concernant les procédures de remboursement, notamment après un arrêt de travail pour maladie professionnelle...
Très satisfait;Bonjour Mmes et Mrs de la CPAM. Je n'ai toujours pas trouvé de médecin traitant malgres l'aide de Mme GARCIA mais je ne baisse pas les bras. Je tiens à vous souhaiter a toutes et tous de très bonnes fêtes de fin d'année, en vous remerciant pour ce que vous faites pour vos allocataires. Merci...
Peu satisfait;Recevoir plus d imformation pour la situation de mes comptes
Très satisfait;Accueil
Peu satisfait;Le service invalidité ne répond ni aux mails ni aux rdv téléphoniques, J’attends une réponse à mon dossier depuis avril 2023 et toujours pas de réponses malgré de nombreuses relances. La personne qui vous appelle lors des rdv téléphoniques n’est pas le technicien qui gère mon dossier invalidité. De ce fait il n’apporte aucune réponse au téléphone, il transmet mes questions au service invalidité qui ne me recontacte jamais ni par mail ni par téléphone. C’est une honte.
Assez satisfait;Concernant les demandes urgentes des délais plus courts devraient nous permettre d éviter des problèmes financiers
Assez satisfait;Quand on explique que l'on a payé la totalité des soins chez le dentiste, ne pas verser le remboursement des soins au dentiste. Et surtout, ne pas remballer l'assurée en lui disant de se débrouiller toute seule, quand celle ci réclame, à juste titre. J'ai eu l'impression d'avoir être poussée sur le côté, pour ne pas gêner.
Assez satisfait;La feuille de soins que j'ai mis sous enveloppe dans la boîte du local de condé sur escaut et qui a disparue lors du transfert dans les locaux de Valenciennes m'obligeant à aller recherché un duplicata et une ordonnance.
Peu satisfait;dossier en litige avec la CPAM de l'aude concernant l'annulation de mon ALD.contetieux en cours auprès de la Commission médicale de recours amiable de Toulouse
Peu satisfait;comment recevoir un nouveau code
Très satisfait;Accuser réception lorsqu'on envoi un mail ou un courrier afin de s'assurer que les envois sont bien arrivés à destination et chez  le bon interlocuteur
Assez satisfait;Que l'application marche mieux, y a des notification mais impossible a ouvrir. Impossible de mettre a jours l'application j'ai du la desinstaller. Difficulté a joindre quelqu'un le robit automatique est mal fait.
Assez satisfait;Les dépassements d’honoraires sont ils pris en charge par la C P À M ? Questions difficile à trouver
Pas du tout satisfait;Pouvoir transmettre des justificatifs via le compte Ameli semble essentiel. Pouvoir joindre un conseiller sans devoir attendre 20 minutes minimum avant de parler a quelqu'un
Assez satisfait;Lorsqu'une attestation de salaire est rejetée, il faudrait prévenir le salarié et pas uniquement l employeur qui ne traite pas forcément le rejet et cause des délais très longs pour paiement des IJSS...
Pas du tout satisfait;Avoir une personne au téléphone, répondre au courrier.  Chose qui se fait rarement ou sinon au bout de plusieurs semaines.  Mon recours  pour l invalidité 12 ans que je ne travaille plus,  et de chez vous aucun rdv médical.
Très satisfait;Accepter le fait de ne pas trouver de médecin référent, et rembourser à 70pour cent
Assez satisfait;Si problème sur les arrêts de travail, il serait souhaitable d'envoyer des mails au salarié en même temps qu'à l'employeur
Très satisfait;Je suis actuellement satisfaite
Assez satisfait;Pour l’instant cela me convient
Assez satisfait;Soin à l'étranger depuis le 8 Mai 2023. Aucune nouvelle.  Réponse.. nous avons du retard...Pas de possibilité d'envoyer feuilles de soins par amélioration depuis application, contrairement pour les Mutuelle
Assez satisfait;On ne peut pas répondre à un message  J'ai été obligée de prendre un rdv téléphonique qui n'a pas répondu à mon problème
Assez satisfait;Pour ce qui me concerne personnellement : une impartialité Informations pertinente au sujets des mutuelles car trop de démarcheurs téléphoniques inconnus qui souhaitent venir vous voir (on se mefie).
Assez satisfait;Plus d'accessibilité téléphonique et physique
Assez satisfait;Je suis retraitée et ça, vous ne l'avez pas indiqué dans votre questionnaire ou posé des questions à ce sujet.
Assez satisfait;!!!!!!
Très satisfait;Moins de prélèvement sur les participations forfaitaires...
Très satisfait;Rien
Pas du tout satisfait;Activez vos cerveaux.
Peu satisfait;Juste vérifier les dossier une bonne fois  Pour ma part le même document avait plusieurs erreur et coam me fait modifier une par une
Très satisfait;Avoir une signalétique plus claire  Mise en place d’écran tactile pour faciliter l’accès au compte ameli
Assez satisfait;Pouvoir adresser ses documents sur  Ameli
Assez satisfait;Ne pas perdre documents papiers.C est l horreur!Pas de remboursement d indemnites journalières. Le docteur qui est mécontent et qui dit non pas de duplicata mais retamponne.Et réponse courrier ,on se demande si vous comprenez bien  ou si vous vérifiez dans compte ameli.  Tristesse.et mieux vaut sourire.en fait moi je fonctionne par ameli et courrier.mais bon la prochaine fois mieux vaut attendre au guichet.Une leçon pour moi.j atte.ds 9 jours indemnités journalières et on m ennuie pour les papiers sue la caisse à perdu.!!!!!oui un coup de gueule.
Assez satisfait;expédition des feuilles de soins par l'intermédiaire de mon compte Ameli
Assez satisfait;je suis frontalière, (Zoast) mes demandes d'info concernait un remboursement de soins chez ophtalmo en Belgique... La réponse rapide à ma demande était sans détail ... coût 70 €, remboursement 17,50 € dans les 15 jours alors qu'on m'avait annoncé 360 jours !! Merci au conseiller de la permanence, 1 x par semaine dans notre petit ville, qui m'a reçue très gentiment et a été très professionnelle. salutations
Assez satisfait;Simplifié les dossiers et, donner les informations complètes en une fois afin de toucher les indemnitées normalement.
Assez satisfait;Le suivi  du dossier toutes le 2 semaines
Assez satisfait;Autoriser mon épouse et moi-même à accéder à nos informations via nos comptes Ameli, car leur accès nous est refusé par la mention CONNEXION INTERDITE. De ce fait nous n'avons jamais pu prendre connaissance de vos réponses à demande de cure.
Assez satisfait;Depuis un certain temps je n'arrive plus à envoyer un message par mail sinon le reste satisfesant
Peu satisfait;un conseiller vous repond et quand vous repondez cest une autre personne qui vous repond le suivi du dossier est difficile on en comprend pas bien les delais de traitement css et remboursement soins on ne connais pas bien les delais
Très satisfait;Sans distinction
Pas du tout satisfait;"Demande d allocation pour être au chevet d une personne en fin de vie: j attend toujours d être remboursé depuis 3 mois alors qu au téléphone on m à dit à deux reprises que je passait dans les ""urgences"" car ça faisait plus d un mois...  De plus le personnel au téléphone ne connaissait même pas ce document qui est pourtant un Cerfa!  Vous perdez tout le temps mes documents... (2 arrêt de travail pour grossesses = deux paiement apres la naissance... et apres de multiples relances de ma part... je trouve ça honteux !!"
Assez satisfait;Je souhaiterai : - pouvoir vous envoyer les demande de remboursement via mon compte Amélie. Je ne souhaite pas les envoyer par le courrier. - que les noms des praticiens soient indiqués sur le relevé de remboursement en plus de tous les éléments déjà indiqués. - être informée lors de modification de mon compte Améli (remboursement effectué)  Merci
Assez satisfait;Je trouve que la CPAM se dégage beaucoup au niveau des deromboursement. Au profit des mutuelles .
Peu satisfait;Moins de délai  Plus de suivi, c’est toujours à moi de relancer pour la situation qui est particulière
Très satisfait;Pensé au personne hospitalisé qui on personne pour envoyer leur papier
Assez satisfait;A ce jour plus de 3 mois de délai pour le remboursement de soins médecin avec envoi de feuille de soins et à ce jour tout pas remboursé... tous les mois on m'annonce encore plusieurs semaines de délai...
Assez satisfait;La saisie des prolongation d'at, plus rapide
Très satisfait;Moins de temps d’attente téléphonique pour avoir un correspondant
