RDV;Quel est votre niveau de satisfaction global suite à ce rendez-vous ?;Avez-vous des remarques ou suggestions ?;;
physique;Très satisfait;Personnel aimable, répondant avec gentillesse.;;
physique;Assez satisfait;Non;;
physique;Peu satisfait;Ne pas mettre qu’un document est illisible quand il s’agit d’un problème d’année dans la date. Dire les choses clairement.;;
physique;Très satisfait;délai un peu long entre la prise de rendez-vous et le délai annoncé pour ma nouvelle carte vitale;;
physique;Très satisfait;non;;
physique;Pas du tout satisfait;La conseillère ne m'a pas aidé dans ma démarche de contestation pour la non prise en charge des bons de transport pour amener mon fils a son rdv chez un spécialiste en lien avec son ALD. Rdv inutile;;
physique;Très satisfait;L’agent qui c’est occupé de mon dossier a était plus que parfait merci à lui;;
physique;Assez satisfait;2 fois en rdv physique, les agents n'ont pas accès à internet ... gestion du dossier après le rdv. Du coup, double temps de traitement pour les agents et de mon côté la réponse est apportée plus tard.;;
physique;Très satisfait;Ras;;
physique;Pas du tout satisfait;L'agent a été très bien et très attentif, mais incapable de pouvoir intervenir pour stopper l'erreur, malgré les documents que j'ai fourni. C'est une procédure administrative inutile pré de la CRA, vu l'erreur crée dans mon dossier. Tout pouvez être réglés au guichet si l'agent était autorisé à le faire.;;
physique;Pas du tout satisfait;ce rendez vous ne m'a servi a rien, car aucunes réponses concrètes, il aurait mieux valu un rdv à Toulon !;;
physique;Très satisfait;Agent très sympathique;;
physique;Très satisfait;Sauf pour prendre un rendez-vous, il n’est pas facile de trouver une date appropriée.;;
physique;Très satisfait;Reçu immédiatement et très bon accueil à l écoute,  eu réponse à mes questions.;;
physique;Très satisfait;J’ai été reçu par une personne très aimable et bienveillante. Elle a pris le temps de m’expliquer et de résoudre mon problème de carte vitale tout en m’aidant à m’enregistrer sur ameli. Ce fut clair rapide et efficace. Un grand merci à elle;;
physique;Très satisfait;Juste l,agent d,accueil a l,entree pas du tout aimable même plutôt agressif et sinon tout était parfait même l,agent de sécurité qui fait très bien son travail voir plus;;
physique;Assez satisfait;non;;
physique;Très satisfait;non;;
physique;Très satisfait;R.A.S;;
physique;Pas du tout satisfait;Sa fait trois ans que j'ai demander une mutation de mes droit suite changement du boulot ,et quand sa ce fait ont oublié mes enfants et ma femme qui étaient rattachées a moi ,je comprend quand puisse pas rattacher ma femme,mais mes enfants qui ont moins de dix ans ces pas possibles, et après six mois ma femme toujours pas de droit ouvert ,moi je pense qu'il faut former si gens la qui vous accueillent a la CPAM , Franchement si une catastrophe, chacun sa version ,il vous donne une réponse juste pour vous liquider et partir .;;
physique;Très satisfait;Rien de particulier;;
physique;Assez satisfait;"Bonjour, à mon avis, il est bien préférable de prendre rendez-vous ou de résoudre les problèmes en personne plutôt que par téléphone ou avec une machine.
Merci.";;
physique;Pas du tout satisfait;"Les rdv sont totalement inutiles. 
Les agents qui accueillent sans rdv ont les mêmes réponses,  les mêmes accès aux dossiers.";;
physique;Très satisfait;Non;;
physique;Peu satisfait;Je n'étais pas enregistré sur la liste malgré la prise de rendez vous téléphonique;;
physique;Peu satisfait;le rendez vous trop  long;;
physique;Assez satisfait;Je remercie la personne qui m'a accueilli pour son professionnalisme;;
physique;Très satisfait;aucune;;
physique;Très satisfait;Très satisfaite de l' accueil et traitement de mes demandes  par l' agence d ESSEY LES NANCY;;
physique;Très satisfait;FRANCE SERVICE EST UN BON MOYEN DE REGLER DES PROBLEMES TRES URGENTS;;
physique;Très satisfait;Les conseillères sont au top : pro, accueillantes cependant , dommage de devoir apporter un duplicata d arrêt pour débloquer le paiement des ij suite à une erreur de saisie de la caisse entre diadème et progrès ! Je regrette que la caisse ne s’excuse d une erreur lourde de conséquences financières en période de maladie (sévère) c est regrettable d autant que c est une technicienne qui m a demandé le dit duplicata suite réclamation au 3646. Avant d’incriminer l assurée une simple vérification aurait débloqué la situation, heureusement que les agents d accueil ont cette bienveillance et sont plus impliqués.;;
physique;Pas du tout satisfait;"Reçu par une personne de l'accueil et non la par personne du service demandé.
Donc réponse très incomplète.";;
physique;Peu satisfait;Reçu par une personne à l'écoute, gentille et bienveillante mais qui ne pouvait pas répondre à mes questions. Elle a donc fait un mail pour que je sois rappelé en urgence. Pas de retour à ce jour du service compétent mais un message téléphonique d'une personne qui ne comprend pas pourquoi elle doit appeler et demandant de rappeler le 3646. On tourne en rond !;;
physique;Très satisfait;"Que tout le monde respecte les heures de rdv 
Et tout ce passe beaucoup mieux";;
physique;Très satisfait;Non;;
physique;Assez satisfait;Le personnel est quelques fois pas en mesure de vous donner des réponses il fond un mail pour que les agents qui s'occupent de certain dossier rentre en communication avec vous;;
physique;Très satisfait;Non;;
physique;Assez satisfait;J'attends le resultat de ma demande;;
physique;Très satisfait;Nous avons toujours besoin de ces annexes ne les faîtes pas disparaître comme le CAF ou les impôts......;;
physique;Très satisfait;Non;;
physique;Très satisfait;"Il serai bien pour les personnes âgées ,sans,connection,et moyens de transports, certain dossiers  (complémentaires santé  solidaire)soit fait automatiquement.
Merci";;
physique;Assez satisfait;"oui je dépasse de peu mes ressources car j ai une  rente  accident du travail , reconnue inapte a reprendre un travail supplementaire pour augmenter ma retraite, cette rente m a  accordée suite a un accident sur mon lieu de travail, et qui m a coutée trois operation chirurgicale;";;
physique;Assez satisfait;Je trouve que pour les personnes comme moi qui à une petite retraite on devrait vraiment revoir le critère;;
physique;Très satisfait;Non personne très compréhensif et très consciencieus;;
physique;Très satisfait;Il Manque des indications écrites pour s'orienter dans la salle d' attente.;;
physique;Assez satisfait;impossible de vous avoir au téléphone, c'est catastrophe / il faut attendre des heures pour avoir un interlocuteur, parfois sans aucune réponse;;
physique;Très satisfait;Que la cpam puisse appeler les usagers en cas de problème de dettes ou de créances;;
physique;Très satisfait;l'agent étant en congé cette semaine ,,j'attends un nouveau rdv à pont l'abbé;;
physique;Assez satisfait;Rencontre avec une personne impliqué qui vous explique qu'il ne sera pas responsable de la suite donnée, car cela implique le bon vouloir d'un service ou il n'a aucun contrôle.;;
physique;Très satisfait;Conseillère très compétente et très avenante.;;
physique;Très satisfait;Non;;
physique;Assez satisfait;Non;;
physique;Pas du tout satisfait;Personne en ligne bienveillante mais aucune solution possible proposée par l'assurance maladie;;
physique;Très satisfait;dommage d'être obligé de se rendre à la cpam alors qu'un coup de fil (voir un sms) eut évité ce déplacement;;
physique;Très satisfait;Personnel à l’écoute et efficace;;
physique;Très satisfait;Ras très satisfait;;
physique;Assez satisfait;Le délai du RDV dépassé de 30 minutes;;
physique;Peu satisfait;Mieux vaut ne pas être malade, ou blessé dans mon cas...;;
physique;Assez satisfait;Non;;
physique;Peu satisfait;,non;;
physique;Assez satisfait;j'ai été prévenu qu'il y avait un problème dans mes papiers d'après mes interlocuteurs mais personne n'a su me dire quand et par quel moyen, et moi je pense ne pas avoir été prévenu;;
physique;Très satisfait;Pas d’accueil  physique sans Rdv vraiment dommage;;
physique;Très satisfait;Votre bot ne sert à rien j'ai été obligé de prendre rendez vous afin de réglé mon problème;;
physique;Très satisfait;plus de rdv;;
physique;Très satisfait;Rien a signaler juste bien accueilli;;
physique;Peu satisfait;je vais éviter d'aller chez le docteur car ce n'est pas dans mes moyens;;
physique;Très satisfait;Ils sont très professionnels;;
physique;Assez satisfait;"Le jeune homme de l'accueil se permet de regarder sans consentement nos identifiants,adresse mail et surtout le mot de passe, et lorsque l'on demande a parlé a un responsable on nous prend de haut et nous envois balader. A savoir que suite a cela je me suis fait piraté boîte mail,compte bancaire et compagnie.
Je n'ai jamais eu aucun souci et c'est la seule personne ayant regardé mes identifiants.
Drôle de coïncidence.
Un mot de passe est privé et ses fonctions ne lui donne a aucun moment le droit de regarder sans consentement.";;
physique;Très satisfait;rien ne remplace l'humain!;;
physique;Très satisfait;Non tre bien  accueilli  merci;;
physique;Très satisfait;Personne très agréable,  très contentieuse,  et à lecoute;;
physique;Très satisfait;Ras;;
physique;Assez satisfait;L’agence de Clichy paraît fermé lors de ma présentation au rendez vous, j’ai failli faire demi tour… en revanche agent très compétent;;
physique;Très satisfait;Personne très agréable et de bon conseils;;
physique;Très satisfait;C étais la cpam de Boulogne sur mer très satisfaite;;
physique;Assez satisfait;J'ai essayé de joindre le service 3646. Après 15min d'attente, toujours pas d'interlocuteur;;
physique;Très satisfait;non;;
physique;Très satisfait;"Continuité de ce service, points accueils très pratiques en zone rurale. Plus de ""Pub"" pour ce service proposé.";;
physique;Très satisfait;être assis, je suis handicapé;;
physique;Très satisfait;J’ai obtenu l’accès à mon compte après le rendez vous c’était le princioal;;
physique;Très satisfait;Je ne peux pas scanner mes documents, donc la personne a bien compris que je devais me déplacer. Le remboursement a été rapide;;
physique;Très satisfait;Pour l instant mon dossier est en attente d une réponse concernant la CSS mais je suis satisfaite de mon rendez-vous;;
physique;Très satisfait;non;;
physique;Pas du tout satisfait;Le personnel doit aller en formation afin de pouvoir gérer certains problèmes de dossiers. J’en suis à mon 6 ième rendez-vous pour ce même problème;;
physique;Très satisfait;"J'ai eu  aussi bien, l'accueil par l'agent de sécurité,, le personnel tres à l'ecoute de mon problème AMELI, et cela avec beaucoup de gentillesse, remettre tout en ordre,
Ils comprenaient que vue de mon âge (82)
Je n'étais pas EXPERTE en manipulation de cette nouvelle technologie.
La journée de vendredi 22/03/après midi, une dame avec son bras plâtré était au travail et après son collègue a pris la (finition)

Je vous remercie et soyez l'interlocuteur auprès de ce service pour les remercier

Au moins une assurée très satisfaite.
Merci de me lire Madame DEBERGHES  BUFFIN";;
physique;Peu satisfait;Prévoir la possibilité de réponse plus rapide en cas de besoin;;
physique;Assez satisfait;Explication très peu claire sur le site ça aurait permis d éviter ce rendez vous tant pour l administration que pour moi;;
physique;Assez satisfait;non;;
physique;Très satisfait;Non;;
physique;Très satisfait;pas de remarques;;
physique;Assez satisfait;A 79 ANS JE DOIS ME DEBROUILLET PAR INTERNET POUR LE RENOUVELLEMENT DE MA CARTE VITALE PENIBLE, QUE TOUT SE FASSE PAR INTER NET;;
physique;Pas du tout satisfait;"Il faut suivre les dossiers et les envoyer par
courrier ce qu'on m'avais promis .";;
physique;Très satisfait;ras;;
physique;Assez satisfait;"Suite à un problème pour faire la carte vital de ma fille  sur votre site je me suis présenté avec les documents officiels on ma répondu qu il fallait un Rdv la personne qui ma reçu la première fois m a rien voulu savoir en sachant que je suis venu a la première heure (8h 30) pour régler ce problème et que j'étais toute seul comme assuré dans votre agence de Pierrelatte. En sachant ce jour la qu il y avait 2 agents. 
Apres avoir eu mon Rdv jai eu une autre personne très aimable et gentille qui m'a réglée mon problème en 5 MINUTES .";;
physique;Très satisfait;Non;;
physique;Très satisfait;trop de suivi et demande par informatique pour les anciens, manque de contact humain!. Je me suis rendu dans le bureau d'auchan nord croix de Neyrat, plus simple que rue du Clos four!;;
physique;Très satisfait;L agent était a l écoute et voulait  satisfaire ma démarche  il a pris  mes coordonnées et 2 jours après  il m'a  téléphoné pour me dire que mon dossier  a été traité favorablement  bravo;;
physique;Très satisfait;non  pas vraiment;;
physique;Très satisfait;Non;;
physique;Très satisfait;l'agent m'a très bien renseigné et très agréable et aimable;;
physique;Assez satisfait;Je ne sais pas dans quel délai mon dossier sera traité et depuis un mois je suis sans complémentaire santé solidaire.;;
physique;Très satisfait;La personne qui m'a reçu était très professionnelle.;;
physique;Très satisfait;non;;
physique;Très satisfait;Une personne très agréable et très professionnelle.;;
physique;Très satisfait;Cela c'est très bien passé, pas de problème.;;
physique;Assez satisfait;Non;;
physique;Très satisfait;Excellent de Excellent Accueil avec Mme Anne Thérèse d l’agence Cpam d Square Marc Sagnier Brest … 1 modèle à citer à certains autres collègues qui n’ont rien à faire à l’accueil : désagréable é incompétente … car j eu 5 rdv pr la même démarche é 3 réponses erronées av la même personne …;;
physique;Assez satisfait;la personne qui appel pour préparer l'entretien est la même qui vous reçoit c'est très bien.;;
physique;Très satisfait;remerciements à l'Espace FRANCE-SERVICES St HH qui a pu me mettre en contact téléphonique en tout 1er;;
physique;Assez satisfait;J'attends toujours d'être contacté;;
physique;Très satisfait;Néant;;
physique;Assez satisfait;j'attend juste une réponse;;
physique;Très satisfait;La première partie a permis d’avancer dans le dossier;;
physique;Très satisfait;Non;;
physique;Très satisfait;bonne acceuil et une organisation formidable;;
physique;Très satisfait;Il faudrait plus de créneaux horaires pour les rendez-vous à l’accueil physique. Car j’ai remarquer que beaucoup de gens avait besoin de voir un agent de l’assurance maladie.;;
physique;Très satisfait;Agent remarquable;;
physique;Très satisfait;non;;
physique;Pas du tout satisfait;au bout de 3 envois( frais de poste) toujours pas rembourser depuis 14 mois pour des soins dont la télétransmission pas effectuée. mr AYRAULT XAVIER departement synergie me demande de recontacter mon dentiste je trouve cela vraiment inadmissible du faite que je ne suis pas fautive de cette situation et que j'attends  toujours;;
physique;Assez satisfait;Je suis en attente de traitement de dossier.;;
physique;Peu satisfait;que mon compte améli fonctionne comme avant sans vos code qui me cause des problèmes;;
physique;Très satisfait;Agent de sécurité se prend pour un policier !;;
physique;Pas du tout satisfait;Oui vous été pas a l écoute des gent;;
physique;Très satisfait;"Il serait judicieux de garder cette possibilité de rendez vous en présentiel, beaucoup plus satisfaisant que les rendez-vous téléphoniques en ce qui concerne
renseignements et problèmes administratifs rencontrés.
Tout est règlé plus rapidement.";;
physique;Assez satisfait;Plus d'échanges, de propositions, et d'envoi de justificatifs devraient être prévu via l'espace web, plutôt que par courrier;;
physique;Assez satisfait;Bonrendez vous. Tres mauvais questionnaire;;
physique;Très satisfait;j aimerais toujours avoir a faire a la meme personne a chaque rendez vous;;
physique;Peu satisfait;Moyen;;
physique;Très satisfait;Recevoir la réponse par un message lors de l'instruction de mon dossier;;
physique;Très satisfait;Je suis très satisfaite des différents services de la CPAM du Vaucluse.;;
physique;Assez satisfait;La demande de rdv a l'accueil est impossible pourquoi mettre cette option dans votre question précédente ?;;
physique;Très satisfait;Très bien sur tout;;
physique;Très satisfait;Très bon conseil, personne très compétente et agréable dans ses explications.;;
physique;Très satisfait;non continuez en presentiel;;
physique;Très satisfait;Il faudrait  un peu plus de personnel ils sont très agréables et professionnels mais trop peu pour la charge de travail;;
physique;Très satisfait;pas évident de trouver la rue, et le numéro. ! Repérage avant le jour du R.V. !!!!!!!;;
physique;Peu satisfait;pour utiliser l'informatique sue place, il n'est dit nul par qu'il faut venir à la cpam avec un smartphone munie d'un accés internet ce qui implique par conccéquence, une sélection et donc une exclsion sur l'aide apprtée;;
physique;Très satisfait;Non tout c'est très bien passé, encore merci;;
physique;Peu satisfait;Faire son travail et respecter les décisions du tribunal administratif de la sécurité sociale.;;
physique;Assez satisfait;Pouvoir traiter son dossier avec une seule personne;;
physique;Assez satisfait;"Non merci agent de l, entré e fait de son mieux  et compréhensible


Non";;
physique;Très satisfait;Je recommande très fortement des rendez-vous à l'accueil physique de l'assurance maladie. Notre 10/10;;
physique;Peu satisfait;Mon Mari  et moi nous attendons la réponse .Merci  que Dieu vous bénisse;;
physique;Peu satisfait;L'agent qui m'a reçu était très agréable et professionnelle. Cependant, l'organisation et le manque de suivi laisse à désirer;;
physique;Très satisfait;Je suis satisfaite car j'ai toujours un grand besoin de la CPAM de Rouen;;
physique;Très satisfait;La dame qui m'a reçu était de bon conseil.;;
physique;Très satisfait;J’ai été très etonnnee de l’efficacité et de la gentillesse de l’employé;;
physique;Très satisfait;non;;
physique;Très satisfait;"j'aurais préféré contact en ligne . déplore obligation de déplacement ( temps et coût ; 2x40 km )";;
physique;Très satisfait;Pour la première fois que je me présente pour une aide, et le temps d attente dans ces locaux ma rendu très stresser et je pense qu'il faudrait de la couleur vive et peut être une musique de fond, après c'est très correcte, un peu triste c'est mon avis, par avance merci de l accueil que j'ai reçu j'étais en détresse totale;;
physique;Pas du tout satisfait;la sécu est inhumaine et désorganiser, impossibiliuté de contacter un responsable par mail;;
physique;Peu satisfait;Suite à ce rdv, j'ai reçu un email me demandant d'aller dans mon compte ameli pour lire un message de la CGSS . Ce que j'ai tenté de faire les 30 et 31/03/24  . Malheureusement , il était impossible d'accéder  à ce compte . Tout est rendu très difficile aux personnes du 3ème âge qui m'ont pas une grande expérience en informatique . Je tenterai de nouveau après Pâques sinon , je me verrai contrainte de prendre un autre rdv .;;
physique;Très satisfait;Agent compétant, accueillant qui a rapidement fait avancer la résolution de mes problèmes.;;
physique;Assez satisfait;Non, jattends encore...mon dossier est semble-t'il en traitement;;
physique;Assez satisfait;Bonjour, mes remarques et suggestions sont par rapport à un autre sujet : je trouve que par rapport à certains soucis de santé que les malades ne sont pas assez compris, des problèmes non visuel mais sont bien en nous et nous prive dans notre vie professionnelle et personnelle de faire certaines choses. Bonne journée, merci . Cordialement. Lydie;;
physique;Peu satisfait;plus de reponse concrete;;
physique;Assez satisfait;non;;
physique;Assez satisfait;L'agent qui m'a reçu a été le seul à m'expliquer le calcul de mes indemnités journalières (Méthode de calcul en rapport à ma situation);;
physique;Très satisfait;j'ai du m'y reprendre à 3 fois, mes arrets de travail ayaznt ete egarés...!    apres rdv, tout est ok;;
physique;Peu satisfait;Le respect de l’heure du rendez-vous et éviter de faire des personnes qui n’ont pas des rendez-vous devant ça décale énormément les heures de rendez-vous;;
physique;Peu satisfait;Dommage qu'il n'y ai plus le service invalidité à la Réunion, je pense que les agents ont déjà assez à faire pour en plus apporter un accueil spécifique aux personnes handicapées. Dans mon cas cela fait 1 an que j'appelle et que je viens dans vos bureaux dès que possible car mon accompagnant doit se rendre disponible pour m'emmener à chaque fois.;;
physique;Assez satisfait;non;;
physique;Très satisfait;RDV jour de grève nous avons très bien été reçus !;;
physique;Assez satisfait;au minimum 6 mois pour etudier le dossier !!!!! sommes nous au 19eme siecle?;;
physique;Très satisfait;Agent disponible , à l'écoute , Merci;;
physique;Très satisfait;non tout était très bien;;
physique;Très satisfait;très bon accueil personne très agréable;;
physique;Très satisfait;Non;;
physique;Très satisfait;Toujours mieux de rencontrer une personne;;
physique;Très satisfait;Bâtiment pas trop  bien identifiable comme cpam;;
physique;Peu satisfait;le RDV c'est bien passé, mais mon problème n'est toujours pas résolu , donc ce serait bien que le travail des personnes après le RDV soient effectuer;;
physique;Très satisfait;RAS;;
physique;Très satisfait;NON;;
physique;Pas du tout satisfait;Inutile le rdv;;
physique;Très satisfait;Améliorez l attente;;
physique;Très satisfait;RAS;;
physique;Assez satisfait;Oui le manque de courtoisie et de patiente pour les conseillers qui contactent les assurés pour préparer le rdv. Écoute attentive à travailler.;;
physique;Peu satisfait;prise de rdv  délai trop trop long;;
physique;Peu satisfait;Une amélioration de l'amabilité de l'accueil serait très appréciée. La procédure pour obtenir la carte vitale pour la première fois est beaucoup trop fastidieuse. J'ai dû prendre deux rendez-vous pour effectuer la même démarche (changement d’adresse, qui n’était pas bien écrit dans les informations personnels + ajout des coordonnés bancaires avec une copie physique du RIB), ce qui est assez déconcertant étant donné que tout le personnel ne semble pas maîtriser tous les détails de cette procédure. Ça pourrait être minimisé pour les citoyen et pour les membres du personnel aussi. Je vous suggère donc vivement de renforcer la formation du personnel concernant les demandes de premières cartes vitales, si possible. Par ailleurs, l'application Ameli présente également de nombreuses limitations, et lorsqu'elle fonctionne, le système est souvent indisponible à plusieurs reprises.;;
physique;Très satisfait;Non;;
physique;Très satisfait;A;;
physique;Assez satisfait;Lors de depot de mon dossier le lendemain, j'ai pas trouver la boite au lettre, donce je me suis deplacer le lendemain.;;
physique;Assez satisfait;"Je pense les délais trop longs 
J'espère que il change et seront un peut moins long";;
physique;Pas du tout satisfait;La cpam ne vous contact pas pour résoudre le problème  elle envoi le huissier  malgré que vous payer votre dettes;;
physique;Peu satisfait;Bien que le personnel soit empathique et assez bien rodé à gérer un gros volume de demandes, les procédures sont mal faîtes. La lourdeur administrative est parfois bloquante. Des situations pourraient être débloquées très vite en un simple coup de fil entre les services (exemple administration et service médicaux), mais les procédures ne le permettent pas. Regrettable;;
physique;Très satisfait;Non;;
physique;Très satisfait;Très satisfaite. Disponibilité et conseils.;;
physique;Pas du tout satisfait;Merci de me reconnecter pour répondre au problème que je rencontre;;
physique;Assez satisfait;rendez vous, physiques ou téléphoniques trop difficiles à obtenir;;
physique;Pas du tout satisfait;Être honnête;;
physique;Très satisfait;"Adresse qui est sur le site n'existe plus. Veuillez mettre une affiche afin de diriger les clients à la bonne adresse. Moi j'ai dû appeler et après on m'a ensuite rappelé pour me diriger vers la nouvelle adresse ce que j'ai  beaucoup apprécié. Merci à l'employé que j'ai eu au bout du fil. 
Cordialement.";;
physique;Très satisfait;Mes réponses sont claires, si tous les accueils étaient pareil ce serait parfait;;
physique;Très satisfait;non;;
physique;Très satisfait;Le seul problème pour régler un problème en urgence, les rendez-vous sont un peu difficiles pour les avoir rapidement;;
physique;Assez satisfait;je ne comprend pas pourquoi avec les outils informatique nous ne pouvons pas nous servir de se moyen de communication;;
physique;Très satisfait;Non;;
physique;Très satisfait;J'aimerais d'avoir santé complémentaires avec la sécurité sociale, même un peu cher comme les privées, donc on a plus de confiance.;;
physique;Très satisfait;J'ai besoin d'aide urgente maintenant;;
physique;Pas du tout satisfait;Mieux former les conseiller;;
physique;Très satisfait;"La personne de la cpam était compétente ce qui n'est pas le cas de la personne à la réception, très désagréable, avec tout le monde. Il est incompréhensible de laisser une employée au contacte du public...ce qui donne une mauvaise impression de France service. 
Il faudrait bien  indiquer CPAM, car ce n'est pas indiqué.";;
physique;Peu satisfait;Non;;
physique;Peu satisfait;la cpam essaie de soulever des points qui ne sont pas dans notre intérêt et à chaque fois qu'ils ont un sujet de non-paiement, ils m'ont fatigué même pour le renouvellement complémentaire de santé il y a quelques mois j'ai eu un problème et j'ai été sans assurance pendant quatre mois, tandis que deux mois avant de le terminer, j'ai demandé le renouvellement de complémentaire santé.merci;;
physique;Très satisfait;La conseillère été au top;;
physique;Assez satisfait;en dehors du rendez-vous parfait, je pense que vous devriez supprimer les courriers qui cotent cher et adopter les mails;;
physique;Très satisfait;L’agent qui m’a reçu est réactif et très professionnel. Je le remercie.;;
physique;Très satisfait;L'assistante très sympathique et aimable;;
physique;Pas du tout satisfait;De ma part j'aimerais continuer à percevoir mes indemnités journalières jusqu'en fin mai 2024 car comme l'a précisé le médecin, la prolongation de mon arret travail allait jusqu'au 31 MAI 2024 par contre avec la pension d'invalidité de 802 EUROS perçu chaque mois je ne peut pas joindre les deux bouts.;;
physique;Assez satisfait;ne pouvant prétendre à la mutuelle solidaire je fais une demande d'aide pour le paiement de ma mutuelle actuelle;;
physique;Très satisfait;MERCI;;
physique;Très satisfait;RAS.;;
physique;Très satisfait;Aucun très bien accueilli.;;
physique;Très satisfait;J’ai vu 2 agents différents et j’ai apprécié leur humanisme. Étant en reconstruction totale, elles m’ont encouragée à rester positive au traitement de mon dossier. Merci pour ce personnel très impliqué.;;
physique;Peu satisfait;Merci d'avance;;
physique;Peu satisfait;le site indique qu'on peut prendre rendez-vous pour déposer un dossier de cure, les agents ne sont pas informés et;;
physique;Assez satisfait;Cést très compliqué d'avoir une personne en ligne j'avais d'abord appelé pendant 2 jours sans avoir une personne en ligne le 3eme jours j'ai rappelé et après j'ai été rappelé;;
physique;Très satisfait;"Il est important pour une demande d indemnités pour congés Maternité de donner les pièces sur place et non par courrier comme on me l'avait demandé au préalable.
A cause de cela mon traitement de mon dossier a mis plus de 4 mois car au bout de ces 4 mois on m a réclamé d autres fiche de paie.
C'est a ce moment là que j'ai décidé de prendre rdv sur place et la conseillère a très bien fait son travail contrairement au personnes qui m' ont réclamé par courrier et qui estimaient su un rdv sur place n'était pas nécessaire.";;
physique;Très satisfait;Réduire les délais des rdv . J’ai pris un rdv un mois et demi à l’avance.;;
physique;Très satisfait;Rien à dire;;
physique;Pas du tout satisfait;Je suis un homme âgé et handicapés et je trouve que l'assurance maladie ne pas de tretment à-propos des handicapés;;
physique;Très satisfait;Que ça continue;;
physique;Très satisfait;"Le RDV était téléphonique et non en présentiel 
L’agent a apporté les réponses à mes questions, très satisfaite du service.";;
physique;Pas du tout satisfait;J'avais fait une longue queue le 15Mars.On m'a donné RDV pour le 25Mars. J'ai répondu par mon compte Ameli le même jour...et attends la suite...;;
physique;Assez satisfait;J'ai été tres bien reçu, je regrette juste que mes papiers aient été perdus car je ne touche aucune allocation depuis décembre 2023 et je suis dans une situation tres embarrassante .;;
physique;Très satisfait;Des tout;;
physique;Pas du tout satisfait;placer des responsables compétents et  un peu intelligents dans les centres d'accueil du public;;
physique;Très satisfait;Merci à vous !;;
physique;Pas du tout satisfait;De suggestion, oui, comme là maintenant j'ai les ordonnances, je n'ai sais pas acheter les médicaments. Donc je suis en train de crever à la maison.;;
physique;Pas du tout satisfait;Être à l’écoute et donner accès au collaborateur à toute les services car la conseillère m’a dit que ma demande ne faisait pas parti de son “service” …;;
physique;Assez satisfait;ATTENTE COURRIER POSTAL ENVOYE PAR MES SOINS CAR URGENCE;;
physique;Assez satisfait;J’ai déposé 2 dossiers à la boîte aux lettres et le 3 avec une lettre suivie sans résultat et p la même demande depuis juin 2023.il y’a pas de badge on sait pas à qui on parle,manque de transparence.Je pense qu’il faut créer un climat de confiance et de respect mutuel;;
physique;Très satisfait;Manques de personnel au point d accueil quand c est sans rendez-vous;;
physique;Très satisfait;Super agréable;;
physique;Assez satisfait;Je trouve très long pour revaloriser mes indemnités journalières;;
physique;Très satisfait;Continuer comme ça merci.;;
physique;Assez satisfait;Difficile sur ordinateur pour moi;;
physique;Peu satisfait;"Dans la vie je n’ai qu’une devise : promettre peu, tenir beaucoup.
Vous devriez vous en inspirer pour éviter l’insatisfaction";;
physique;Assez satisfait;Reprendre les règles des dépôts des justificatifs pour éviter des déplacements aux assurées ! S’assurer que l’agent qui va nous recevoir qu’il a examiné toutes les pièces jointes lors du dépôt et surtout écouter qd l’assuré explique. Merci;;
physique;Très satisfait;Aucune suggestion, juste en attente des résultats. M’a complètement santé solidaire;;
physique;Très satisfait;Avoir plus de choix de raison de rv. J'avais l'impression de tricher en ne mettant pas la réelle raison;;
physique;Très satisfait;Agent très aimable et compétent.;;
physique;Assez satisfait;Non;;
physique;Très satisfait;Des box plus fermé car j’entendais ce qui se disait pendant mon attente.;;
physique;Très satisfait;"Je suis toujours très satisfait.
je suis toujours très satisfait.";;
physique;Très satisfait;Demande d'attendre à l'extérieur en attendant que l'on ouvre mais il n'y a pas d'abri ni de banc pour s assoier personnellement j'ai une carte à mobilité reduite et j'ai un peu attendu avant d'étre prise en charge;;
physique;Peu satisfait;Non;;
physique;Très satisfait;Le conseiller était très souriant à l’écoute et très professionnel;;
physique;Assez satisfait;Personne très aimable, mais pas la bonne réponse car elle ne la connait pas;;
physique;Très satisfait;J'ai été très bien accueillie et reçu. Mon interlocutrice est vraiment très compétente et agréable.;;
physique;Pas du tout satisfait;Mettre un système informatique plus performant;;
physique;Pas du tout satisfait;Je n'ai pas eu de rendez-vous physique;;
physique;Assez satisfait;porte d'entrée verrouillée à l'arrivée et file d'attente et manque d'indications pour entrer;;
physique;Très satisfait;Pas du tout;;
physique;Assez satisfait;Non;;
physique;Très satisfait;Au téléphone, le rdv est aussi efficace et interactif;;
physique;Très satisfait;RAS;;
physique;Peu satisfait;"Il y a 6 mois, j'ai du faire 2 demandes de cartes vitales en passant par Améli + 1 demande par courrier et toujours rien. Je me suis déplacée à la sécurité sociale pour prendre un rdv physique car impossible de le faire par améli. On m'a alors expliqué que pour prendre un rdv par améli (chose que j'avais tenté de faire, mais sans succés car le motif de mon rdv n'était pas présent dans la liste et il était écrit que si nous venions pour un autre motif que celui choisi, notre rdv ne serait pas honoré), qu'il fallait choisir dans la liste des propositions de rdv : ""artistes, auteurs"". Du grand n'importe quoi ! Il suffit d'écrire ""autres"". Et c'est un emlpoyé de la sécu qui m'a expliqué ça de manière tout à fait normale et raisonnée. Hallucinant.";;
physique;Peu satisfait;Dans ma situation, des excuses pour le non traitement de mon dossier en heure et en temps serai un minimum;;
